address,main_cluster,subcluster
0x02b4f9ffb4bc1f62ec94a74960238b0a859e64ea,4,2
0x02bbfc6310f6e6b93426e7610dbb2ea551e3d095,4,2
0x036f451ded6a4497c3da2b9d8d6961680ebade12,4,2
0x0670b92ef484d55df6955712c75221479f3b3f04,4,2
0x06d8f1f9038acd7290c60e443c836f7472e3558e,4,2
0x0b64c88dd0f93733fef3900143b6dc4ff38e55f0,4,2
0x0fb9a82946d12a1566bc79b659e0b4401bc16619,4,2
0x1081354c9227571571947112f3074c02ed99493d,4,2
0x113607c21c988da92cb9ad222f44b349dffa84f9,4,2
0x12964ef0565ac2f36a9a72e7aa4a4b4a309771d8,4,2
0x160715e90946684602c63a911d1aebe319f0da24,4,2
0x164928de899629d2c7c513359722a868f9140624,4,2
0x195e765d77806ce91fecce15178b76bacb4b2612,4,2
0x1ab5f3d90ef04646af5fddfe500ed77b62329c5f,4,2
0x1ba7f73b6c4c6f24e2efd2f5a6c873b09c5a35e6,4,2
0x2314fbe5ad7bd6922753c7e20678bd57bbc377bd,4,2
0x233871d51b6a32be4c3253191e0b361a643423d6,4,2
0x23b00b6d01fb7e4821aa9939af0e813f0eda434f,4,2
0x264724abb650080f812788d1b87cf1cea984b3cf,4,2
0x28014bca0a9a6d12f73c9d675c01b728368fa4d5,4,2
0x281cee2136d56b78a0f18c40df0eb048b4622a94,4,2
0x26c49fb9babd9e8661e620418b670c56773a00cd,4,2
0x28d9f4490931bf9498fd5a19d92aa0c6e3d52788,4,2
0x29ff09505e28807acb776b0e1675cd307b335612,4,2
0x2f46a42fd11ba4c1b3ac4114284dea471710fe1d,4,2
0x301ca1afa5288696f81f059cfad1b5dd5b0a54c3,4,2
0x31280d2d1534d95aba3c1ddc0fb0980c578e869f,4,2
0x3633f69450c829e07c83d9ce0d97314ac5ed20b7,4,2
0x37ec9cf64a88c78f94d3e7627aee51f05db37c79,4,2
0x3ca4f8ef493797b1e2e62c2fc628fd49868ec957,4,2
0x3dedf543b4690affc59db7cdc1bf3d5e066c7360,4,2
0x3e4ae56dc4cf2149e72d3a956f7b0e7b00b8d18f,4,2
0x3faf670f98049f5c31940697379c96cba2317f6d,4,2
0x43c35a33715bc4f3e8789ebeaf0d9652b82aaf7e,4,2
0x439ed5aa2b5bbc49f0095d0af69620391144744d,4,2
0x44837915e4e268b775c31b2d2ca172e40545c016,4,2
0x44d4c7c3988bf2a196eb1b3ad3fde4f3867df297,4,2
0x4527d541b82e37305436d0293801ea7b72c8bb1c,4,2
0x489be8ac6474d253223ab0418d37919e54939050,4,2
0x48b010f63b9addaa95db2d4818e75461ae9ccacc,4,2
0x4982f067baf5370e7e9c6c7a8d30ca6d44052bef,4,2
0x4c893fe42ccfb28d34df7a286ec85a71760dd5e4,4,2
0x508da2f38ae8573d9dd8166daca84285c547bcb7,4,2
0x519de35e068266249cb108ec0b45952211f35787,4,2
0x52671c6653e01fb63d55cd3b4f06703a873bc284,4,2
0x52e44558623490c0ca725739dac30efbdbb13ec5,4,2
0x57fd13959b1dbf0e0733b55b5be4eb5fa8aa8ab5,4,2
0x590df10b7dcbee5c5110f8aae4fb71a12e970e6b,4,2
0x5be61c92670fd9af1f1d4e1c6df37ac6e1ec3e6a,4,2
0x5c8736cac45e02bc3fa526845de835053755cf30,4,2
0x5cd29b7b7253aff5b47eb3e89f4b2ed7b43fa12d,4,2
0x5fc378f9bea96722c9a7f19c618d44bb1a82caa3,4,2
0x6009616c0d085091dca35803071f94f36712fcad,4,2
0x604b88f1b225e6c6246955c5c680c850acfbedbd,4,2
0x611793b1bb45f1d0d9c88098870abcdb7fc4a973,4,2
0x61c4bcdc90744e6095a566ae0127d2c678e7764e,4,2
0x61873c53bdb9a71f7db93ae1c70194ae16dec43b,4,2
0x621aed5f20ead24b7b194512bc7e138070fe7fa0,4,2
0x62ebb8753b84593fa32183a6a592702122a3021c,4,2
0x65aa0cdff9e0bfd6dc84a1fd64c3e6355db5525e,4,2
0x67b91a9b5f84b908bd4f88da4359e7af503d97a0,4,2
0x6ad4639fd7b687a82c25126375ac94e851d54fd6,4,2
0x73a6e564d2b53178a8a8dcbfac5d051ecc82e88a,4,2
0x746a1f1fb646cea0df4210b986d84bd2c5b9091c,4,2
0x749790fad915112dd1dd4c6e4695e5dab5d5ae94,4,2
0x74b23e99dfe4010b6079badc512905bab1cfacc3,4,2
0x76fd6ca94a7e1ad1007e915d4ada0e05e11be5e0,4,2
0x7849f46dcbe4f4e944292a552fd7bea57c68f383,4,2
0x7b6038f43550a42e6a3a480e3ef9a8030a2e8203,4,2
0x7d495690b549e97f0f4cf632e59c4c6242b72b2b,4,2
0x7d6ed4152155e05dd75110bd513ec22c202fa333,4,2
0x7db96c6dd6bfd1175a6f3be059405f757086572b,4,2
0x81b4646020d65b078964d2aa101973c2d2cb31d2,4,2
0x85dedec8cfc3919f1138b34830b62b9d8a88b553,4,2
0x8befd565fe251f179d575569bb00655819de486f,4,2
0x8c1d431aaeba9f650bf556f2a1ad1779e0546147,4,2
0x8d4ea85ab5b09a9166ecba5ae929f2f32f8cf666,4,2
0x8f68e62e5591d47f8f1e3bbbd8675c893edc5325,4,2
0x92b1d51c05288d8a30a2cdcd5bd209b015f9af66,4,2
0x93c5ecadd13edd7cf82fedd54d8ae13022a18b1e,4,2
0x99e90b15283c7b435d214a1861e424a20cd60722,4,2
0x9b70b985741c35abfdf273e4516dfc60d5599627,4,2
0x9b87790a3c1b46480370c6a011d07785c700c342,4,2
0x9e8351a86fecba81abc2f010939edd39c92bcb2d,4,2
0x9f7fb72d6e4f7a68e4fbb350aa1773724f28be84,4,2
0xa059c60649a586292a9e272772bd085e4eba623b,4,2
0xa8f08410efdc7226b389ee17d2deb0ac3a1b6a6e,4,2
0xa95b0f5a83d583d7153414340273c2cb8ac76029,4,2
0xa98858e9b77034a1f1ab5e670e7bbd5bfa14621c,4,2
0xae74f70613801f17f655f1494e9289893a97aeed,4,2
0xb044593bad4eecc71c2d706a59f364e460081f6a,4,2
0xb3d46a60f59a287f76b85d1e69307c460d8927e1,4,2
0xb94fe6cd2dfd985cec777c94968bf365217dd32d,4,2
0xb9abe1bd6cea08880b04a29b81cc4f2d76176d70,4,2
0xbae90f1c0fc2b61f62c76b8e02e3b28fad704e20,4,2
0xc1e8f6a96b435bc1f189059b705f192d0e01ce7b,4,2
0xc2c76545440c2d267b4d93a024d709b916ffe649,4,2
0xc4fac44fc15608a46a494170d3eb632e8bb1772a,4,2
0xc49bf61cd37bc9f7729270e02c28287a42ec445b,4,2
0xc73f9b62d48aebb517459f116177d817cab79489,4,2
0xc82812ada504b7749474569188957883319a9138,4,2
0xcb03adbea4f39eb9b93258e3faaeecbfdb3f4ac5,4,2
0xcc6abdcd500414b7d4a1ec3a4a523201a632b1f5,4,2
0xcf18cdc33413025179544dd080e39735016f1f56,4,2
0xd2ddcb0abd6c80c3a534618a869891b114e22415,4,2
0xd570489fe43d687d826db1025830eb14064cf580,4,2
0xd86b9551db8e2a14c4343b7f4f26ecfe229780f9,4,2
0xdaac21b66c6e79271a1080fe068342639e13623b,4,2
0xdc79aa9d7a86dde4b99a4b63d249e36c1abab4e1,4,2
0xe262f906f057ab226ba50361fa8f953ab01fb658,4,2
0xe42fac51f809d3eba31d945129b240f5b4465644,4,2
0xe6571a7a195ec718e0ef2c84f347a78dc49f10b4,4,2
0xe71dc02eb9dd2baa9c8cb1f461d61ca0a404be00,4,2
0xe80497224e30e7f3baa8454c0f2823a3f665ba8b,4,2
0xe8d15a420705b1388615dd301a9c35a29770ace7,4,2
0xe98cd617ff0267a01a97440c836d2fcdf440d1a1,4,2
0xebff19a32c7d5c0e226190fb88fc8e717b0db401,4,2
0xee1c4f9057cf0cd6dc541da33e37404ce9dd2297,4,2
0xf01cded33461317e386cf2c647a8fe5b79e4d586,4,2
0xf219afa2470b30d72dfb197eaa984698ec0f0eb8,4,2
0xf3ec7f0a942119059677de9fe3c2249c04b08d53,4,2
0xf411fdfb585f7fc84902395e330e514051015100,4,2
0xf696be2783d7809d22a5268707dae1c2b2eb0c41,4,2
0xf8c3d20d9020033b3c067e8e2942fdac4705e6fe,4,2
0xf991c2442715a730db3e6ec8c61f4e7c95cc7838,4,2
0xfc9ea99bd13d3ca13bdf4fa0205cde270f0c7313,4,2
0xfcf1d48e856df4fc91dea7a1dae76e6e4051043b,4,2
